text,label,Word Count,Sentence Count,tokens,text_length
२५०० करस नगरने भयो सरहाई कयाप वाला सबै घटयो हेरदा हेरदौ अलि अलि फाइदा भएको पनि लाषटमा लस नै भयो,Neutral,20,1,"['२५००', 'करस', 'नगरने', 'सरहाई', 'कयाप', 'वाला', 'घटयो', 'हेरदा', 'हेरदौ', 'अलि', 'अलि', 'फाइदा', 'लाषटमा', 'लस']",95
हो हो सर,Neutral,3,1,['सर'],8
सगोतरी बनदु सवासथ को खयाल गरनु होला,Neutral,7,1,"['सगोतरी', 'बनदु', 'सवासथ', 'खयाल']",35
यो एनलाइसिसको एडिकट पो भै सकिए छनसुनी चितै मानदैन,Neutral,9,1,"['एनलाइसिसको', 'एडिकट', 'पो', 'भै', 'सकिए', 'छनसुनी', 'चितै', 'मानदैन']",49
आज देखि मैले पहिले चोटि secondary बाट कारोबार गरेको आजै 4300 चुना लागयो,Neutral,13,1,"['देखि', 'चोटि', 'secondary', 'कारोबार', 'गरेको', 'आजै', '4300', 'चुना']",71
Sir NTC मा लामो समय लगानीगरदा कसतो होला बताइ दिनु न,Neutral,11,1,"['Sir', 'NTC', 'लामो', 'लगानीगरदा', 'कसतो', 'बताइ', 'दिनु']",51
मानौ मैले कुनै कमपनी बुक कलोज भनदा 1 दिनअघि किने र पराइज एडजसमेनट पछि बोनस परापत नगरदै बेचे उकत कमपनी बेचिसकेपछि मैले बोनस सेयर परापत गरछु कि गरदिन गरेमा कति समयमा आउँछ,Neutral,32,1,"['मानौ', 'कमपनी', 'बुक', 'कलोज', 'भनदा', '1', 'दिनअघि', 'किने', 'पराइज', 'एडजसमेनट', 'पछि', 'बोनस', 'परापत', 'नगरदै', 'बेचे', 'उकत', 'कमपनी', 'बेचिसकेपछि', 'बोनस', 'सेयर', 'परापत', 'गरछु', 'कि', 'गरदिन', 'गरेमा', 'कति', 'समयमा', 'आउँछ']",168
७० करोड घुस परकरणमा यसरी रिसाए गोकुल बाँसकोटा गगन र विशवपरकाशलाई कालापानी जान चुनौति,Neutral,14,1,"['७०', 'करोड', 'घुस', 'परकरणमा', 'रिसाए', 'गोकुल', 'बाँसकोटा', 'गगन', 'विशवपरकाशलाई', 'कालापानी', 'जान', 'चुनौति']",84
भारतमधेस र नेपालचीन समबनध विगरनछ मधेसी नेता अरू दलको भरिया डाराजेश अहिराज,Negative,12,1,"['भारतमधेस', 'नेपालचीन', 'समबनध', 'विगरनछ', 'मधेसी', 'नेता', 'अरू', 'दलको', 'भरिया', 'डाराजेश', 'अहिराज']",73
भीम रावलको खुलासा एमाले छोडेर नयाँ दल खोलने एमसीसी पढन देउवालाई आगरह पारित गरे दुरघटना,Neutral,15,1,"['भीम', 'रावलको', 'खुलासा', 'एमाले', 'छोडेर', 'दल', 'खोलने', 'एमसीसी', 'पढन', 'देउवालाई', 'आगरह', 'पारित', 'गरे', 'दुरघटना']",86
राजनीतिक सवारथ र लहडमा जथाभावी विमानसथल बनाउने होड Galaxy News Report,Neutral,11,1,"['राजनीतिक', 'सवारथ', 'लहडमा', 'जथाभावी', 'विमानसथल', 'बनाउने', 'होड', 'Galaxy', 'News', 'Report']",69
परचणडले खुमलटार छोडदैः पैदल हिँडने झुपडीमा डेरा सरने Prachanda Yaksha Prashna,Neutral,11,1,"['परचणडले', 'खुमलटार', 'छोडदैः', 'पैदल', 'हिँडने', 'झुपडीमा', 'डेरा', 'सरने', 'Prachanda', 'Yaksha', 'Prashna']",77
दुरगा परसाईको घोषणा भीम रावलले एमाले छोडने ओली महामानव देउवा परचणड र माधबको भणडाफोर,Neutral,14,1,"['दुरगा', 'परसाईको', 'घोषणा', 'भीम', 'रावलले', 'एमाले', 'छोडने', 'ओली', 'महामानव', 'देउवा', 'परचणड', 'माधबको', 'भणडाफोर']",83
कांगरेस नेता मिनेनदर रिजाललाई यकष परशनः सकरिय राजनीतिबाट विशराम लिएको हो Dr Minendra Rijal,Neutral,14,1,"['कांगरेस', 'नेता', 'मिनेनदर', 'रिजाललाई', 'यकष', 'परशनः', 'सकरिय', 'राजनीतिबाट', 'विशराम', 'लिएको', 'Dr', 'Minendra', 'Rijal']",90
परधानमनतरीलाई अब ठूला भरषटाचारको फाईल खोलन लगाउँछु AP CENTER AP1HD,Neutral,10,1,"['परधानमनतरीलाई', 'ठूला', 'भरषटाचारको', 'फाईल', 'खोलन', 'लगाउँछु', 'AP', 'CENTER', 'AP1HD']",66
लेखनाथ नयौपानेको खुलासामहाधिबेशनमा एमसीसीको कुरा गरनेलाई जुतताको माला लगाएर कालो मोसो दलिनछ,Negative,12,1,"['लेखनाथ', 'नयौपानेको', 'खुलासामहाधिबेशनमा', 'एमसीसीको', 'गरनेलाई', 'जुतताको', 'माला', 'लगाएर', 'कालो', 'मोसो', 'दलिनछ']",91
MCC BAHAS एमसिसी सनदेह संवाद र समाधान AP1HD,Neutral,8,1,"['MCC', 'BAHAS', 'एमसिसी', 'सनदेह', 'संवाद', 'समाधान', 'AP1HD']",43
परचणडलाई यकष परशन देउवाको जयोतिषी को छबीलाल हो,Neutral,8,1,"['परचणडलाई', 'यकष', 'परशन', 'देउवाको', 'जयोतिषी', 'छबीलाल']",46
जे गरेपनि एमसीसीले संकट निमताउने देखियो Gebate With Nimesh Banjade Surendra Pandey EP 47,Negative,14,1,"['जे', 'गरेपनि', 'एमसीसीले', 'संकट', 'निमताउने', 'देखियो', 'Gebate', 'With', 'Nimesh', 'Banjade', 'Surendra', 'Pandey', 'EP', '47']",88
अरथमनतरी शरमाको खुलासाएमसीसी सहमतिमा पारितदेउवा परचणड गठबनधन निरनतरमाओवादीमा परिवरतन,Neutral,9,1,"['अरथमनतरी', 'शरमाको', 'खुलासाएमसीसी', 'सहमतिमा', 'पारितदेउवा', 'परचणड', 'गठबनधन', 'निरनतरमाओवादीमा', 'परिवरतन']",84
परचणडको सनसनीपूरण खुलासा माधव बाबुराम बैदय र विपलवसहितको नयाँ पारटी बनाउने,Neutral,11,1,"['परचणडको', 'सनसनीपूरण', 'खुलासा', 'माधव', 'बाबुराम', 'बैदय', 'विपलवसहितको', 'पारटी', 'बनाउने']",74
धुरमुस र रविलाई गाली गरेर थाकेनन हेम थापा GLAMOUR GUFF Epi 65 PRAKASH SUBEDI HEM THAPA,Neutral,16,1,"['धुरमुस', 'रविलाई', 'गाली', 'गरेर', 'थाकेनन', 'हेम', 'थापा', 'GLAMOUR', 'GUFF', 'Epi', '65', 'PRAKASH', 'SUBEDI', 'HEM', 'THAPA']",86
सीपी गजुरेलको खुलासा परचणडसँग एकताका लागि यसतो छ परसताव बैदय बाबुराम र बिपलवले के गरलान,Neutral,15,1,"['सीपी', 'गजुरेलको', 'खुलासा', 'परचणडसँग', 'एकताका', 'यसतो', 'परसताव', 'बैदय', 'बाबुराम', 'बिपलवले', 'गरलान']",87
ओलीसँग अधयकषमा पराजित भएका भीम रावलको पहिलो अनतरवारता पारटीभितर यो हदसममको षडयनतर भयो,Neutral,13,1,"['ओलीसँग', 'अधयकषमा', 'पराजित', 'भएका', 'भीम', 'रावलको', 'पहिलो', 'अनतरवारता', 'पारटीभितर', 'हदसममको', 'षडयनतर']",85
यो भरसटाचारि लाई किन येति घमणड ७० करोड को परदाफास हुदा नि येति धेरै आतमबल,Negative,15,1,"['भरसटाचारि', 'येति', 'घमणड', '७०', 'करोड', 'परदाफास', 'हुदा', 'नि', 'येति', 'आतमबल']",73
गोकुले भनन बितिकै ७० करोड को मातर याद आउँछ७० करोड ७० करोड,Neutral,12,1,"['गोकुले', 'भनन', 'बितिकै', '७०', 'करोड', 'मातर', 'याद', 'आउँछ७०', 'करोड', '७०', 'करोड']",57
७० करोडको अझै कति धेरै चुरिफुरी छ थुकक हामरो देशका नैतिकता नभका चोर नेताहरू,Negative,14,1,"['७०', 'करोडको', 'अझै', 'कति', 'चुरिफुरी', 'थुकक', 'हामरो', 'देशका', 'नैतिकता', 'नभका', 'चोर', 'नेताहरू']",75
किन लयाको यसलाई सततरी करोडको अनुहार देखन पनि मन छैन,Neutral,10,1,"['लयाको', 'यसलाई', 'सततरी', 'करोडको', 'अनुहार', 'देखन', 'मन']",51
जसले जे सुकै भनेपनि गोकुल बासकोटा काभरेको बादसाह हुन,Positive,9,1,"['जे', 'सुकै', 'भनेपनि', 'गोकुल', 'बासकोटा', 'काभरेको', 'बादसाह']",52
यो मानछेको थोपडा देखयो कि खोपडी गरम हुने म मातर होला कि के हो,Negative,14,1,"['मानछेको', 'थोपडा', 'देखयो', 'कि', 'खोपडी', 'गरम', 'हुने', 'मातर', 'कि']",61
यसता भरषटहरुलाई रोजेर पठाउने हामी जनता कसता भनया,Neutral,8,1,"['यसता', 'भरषटहरुलाई', 'रोजेर', 'पठाउने', 'जनता', 'कसता', 'भनया']",48
कति चुरिफुरी यसको,Neutral,3,1,"['कति', 'चुरिफुरी']",17
औषधिमा भरषटाचार गरने यो महा पापी हो,Negative,7,1,"['औषधिमा', 'भरषटाचार', 'महा', 'पापी']",35
म यहाँ dislike गरन र यो मानछेलाई बहिसकार गरन मातर आएको हो येसता भरसटाचारी नेताहरु सबैलाई सामाजिक संजालबाट सधैको लागि बहिसकार गरओ,Negative,22,1,"['dislike', 'गरन', 'मानछेलाई', 'बहिसकार', 'गरन', 'मातर', 'आएको', 'येसता', 'भरसटाचारी', 'नेताहरु', 'सबैलाई', 'सामाजिक', 'संजालबाट', 'सधैको', 'बहिसकार', 'गरओ']",128
गोकुलजीले भनिसके त भरसटाचार गरेको रहेछ भने भननेहरुकै सबथोक छ छानबिन गरि परमाणिात गरेर देखाए भइहालयो नि,Positive,17,1,"['गोकुलजीले', 'भनिसके', 'भरसटाचार', 'गरेको', 'रहेछ', 'भननेहरुकै', 'सबथोक', 'छानबिन', 'गरि', 'परमाणिात', 'गरेर', 'देखाए', 'भइहालयो', 'नि']",102
के बोलेको होला यो 70 ले संसद विगठन नै यो अवसथाको जड हो भनने किन बिरसेकाे,Neutral,16,1,"['बोलेको', '70', 'संसद', 'विगठन', 'अवसथाको', 'जड', 'बिरसेकाे']",72
सवचछ र असल राजनीति गरौं,Positive,5,1,"['सवचछ', 'असल', 'राजनीति', 'गरौं']",23
समदध नेपाल निरमाण गरौं,Positive,4,1,"['समदध', 'नेपाल', 'निरमाण', 'गरौं']",22
MCC अब पास हुनछ तयो पनि गठबनधन जोगाउनको निमितत,Neutral,9,1,"['MCC', 'पास', 'तयो', 'गठबनधन', 'जोगाउनको', 'निमितत']",46
भरषटाचारिलाई किन अनतरबारता लिएको होला,Negative,5,1,"['भरषटाचारिलाई', 'अनतरबारता', 'लिएको']",37
चोरले म चोर हुँ कदापि भनदैन लाज पचेको ७० करोड वलिको पुचछरको चुरिफुरी देखदा उदेक लागछ,Negative,16,1,"['चोरले', 'चोर', 'हुँ', 'कदापि', 'भनदैन', 'लाज', 'पचेको', '७०', 'करोड', 'वलिको', 'पुचछरको', 'चुरिफुरी', 'देखदा', 'उदेक', 'लागछ']",84
विना सवारथ लोभ लालच सबै कमयुनिसट एकता जरुरी छ देशका लागि,Positive,11,1,"['विना', 'सवारथ', 'लोभ', 'लालच', 'कमयुनिसट', 'एकता', 'जरुरी', 'देशका']",56
गोकुल काकालाई माननैपरछ बा ७० करोडको टेप नककली रे दिउसै रात पारने मानछेहरुको नै बोलबाल छ देशमा कति लाजै नमानी भनन सकेको हो भने,Negative,24,1,"['गोकुल', 'काकालाई', 'माननैपरछ', 'बा', '७०', 'करोडको', 'टेप', 'नककली', 'रे', 'दिउसै', 'रात', 'पारने', 'मानछेहरुको', 'बोलबाल', 'देशमा', 'कति', 'लाजै', 'नमानी', 'भनन', 'सकेको']",125
७० करोड चोर I आफु चोर होइन भने किन राजिनामा सुरुकक देको त मागने बेलामा ७० करोड मागने चोर अईले आएर नकली भोइस हो रे I,Negative,26,1,"['७०', 'करोड', 'चोर', 'I', 'आफु', 'चोर', 'होइन', 'राजिनामा', 'सुरुकक', 'देको', 'मागने', 'बेलामा', '७०', 'करोड', 'मागने', 'चोर', 'अईले', 'आएर', 'नकली', 'भोइस', 'रे', 'I']",115
नेपाली समाज हुइयाको पछाडी दौडने समाजबाट कहिले माथि उठने होला,Negative,10,1,"['नेपाली', 'समाज', 'हुइयाको', 'पछाडी', 'दौडने', 'समाजबाट', 'कहिले', 'उठने']",60
70 करोड कता कता लगानी गरनु भयो जानकारी पाईनछकी,Neutral,9,1,"['70', 'करोड', 'कता', 'कता', 'लगानी', 'पाईनछकी']",46
यिनले परशन उठे पछी राजिनामा दियो रे नैतिकता देखायो साची नै यिनी सहि रहेछन भने यिनका के पि ले नैतिकता बेचेकै रहेछ भनने कुरो यिनैले परमानित गरेछन,Negative,27,1,"['यिनले', 'परशन', 'उठे', 'पछी', 'राजिनामा', 'दियो', 'रे', 'नैतिकता', 'देखायो', 'साची', 'यिनी', 'सहि', 'रहेछन', 'यिनका', 'पि', 'नैतिकता', 'बेचेकै', 'रहेछ', 'कुरो', 'यिनैले', 'परमानित', 'गरेछन']",143
धनयवाद,Positive,1,1,['धनयवाद'],6
100 खाकोई हो 70 करोड छाती थोकेर भनछु किनकी खाली पुसती गर पुसती गर भनछ,Negative,15,1,"['100', 'खाकोई', '70', 'करोड', 'छाती', 'थोकेर', 'भनछु', 'किनकी', 'खाली', 'पुसती', 'गर', 'पुसती', 'गर', 'भनछ']",69
70 करोडको दमब अझै हेरनु कुन नेपाली जनताको कुरा तिमीहरूको भुससेहरु नेपाली जनताहरु होइन,Negative,14,1,"['70', 'करोडको', 'दमब', 'अझै', 'हेरनु', 'नेपाली', 'जनताको', 'तिमीहरूको', 'भुससेहरु', 'नेपाली', 'जनताहरु', 'होइन']",85
अाफु पदमा हुदा नियम कानुन अनुसासन नचाहिने अरूमा हुनु परने साला गाेरू,Negative,12,1,"['अाफु', 'पदमा', 'हुदा', 'नियम', 'कानुन', 'अनुसासन', 'नचाहिने', 'अरूमा', 'हुनु', 'परने', 'साला', 'गाेरू']",68
हिजो दुइ तिहाइ को घमणड गरनेको बाहिरिय पछीको रोदन हो बिचरा यो उखाने पारटी ले केहि गरनु सकेन अहिले अरुले गरदछु भनदा रोकने सहयोग नगरने अनि कसरी हुनछ देशमा बिकास अहिले अाएर ठिक लागयो सहि हो धमला सर,Negative,38,1,"['हिजो', 'दुइ', 'तिहाइ', 'घमणड', 'गरनेको', 'बाहिरिय', 'पछीको', 'रोदन', 'बिचरा', 'उखाने', 'पारटी', 'सकेन', 'अरुले', 'गरदछु', 'भनदा', 'रोकने', 'सहयोग', 'नगरने', 'कसरी', 'देशमा', 'बिकास', 'अाएर', 'ठिक', 'सहि', 'धमला', 'सर']",193
यो देस बाट समसोदिय बयबसथा नै खारेज गरनु जरुरी छ हैन भने देस को हालत सधै यसतै रहनछ,Negative,18,1,"['देस', 'समसोदिय', 'बयबसथा', 'खारेज', 'जरुरी', 'हैन', 'देस', 'हालत', 'सधै', 'यसतै', 'रहनछ']",81
नैतिकता हराएको मानछे,Negative,3,1,"['नैतिकता', 'हराएको', 'मानछे']",20
जसले जे भनोस गोकुले काका रामरो नेता हुन,Positive,8,1,"['जे', 'भनोस', 'गोकुले', 'काका', 'रामरो', 'नेता']",39
रिसाउने मातरै होइन कुटन परने हो यदि घोटाला नै गरया भए कारबाही गरे भैगो नतर बारमबार टचर कसले सहनछ,Negative,19,1,"['रिसाउने', 'मातरै', 'होइन', 'कुटन', 'परने', 'घोटाला', 'गरया', 'भए', 'कारबाही', 'गरे', 'भैगो', 'नतर', 'बारमबार', 'टचर', 'कसले', 'सहनछ']",96
एक पटक गोकुल बासकोटा र जञानेनदर शाही बिच छलफल गरनुपरने भो ऋषिजी,Neutral,12,1,"['पटक', 'गोकुल', 'बासकोटा', 'जञानेनदर', 'शाही', 'बिच', 'छलफल', 'गरनुपरने', 'भो', 'ऋषिजी']",63
हाजिरी जवाफ मा आको होइन रिसि जि,Neutral,7,1,"['हाजिरी', 'जवाफ', 'आको', 'होइन', 'रिसि', 'जि']",31
माननीय जयु बोलिमा परिवरतन हुनुपरछ,Positive,5,1,"['माननीय', 'जयु', 'बोलिमा', 'परिवरतन', 'हुनुपरछ']",33
mccलयाए भाे भनने हाेईन mccलाै लेराअाे त भनने हाे देश र जनताकाे हित हुदैन भनने थाहा भाे mccकाम रैनछ भनने हाे खबरदार mcc पास हुन दिने हाेईन,Neutral,27,1,"['mccलयाए', 'भाे', 'हाेईन', 'mccलाै', 'लेराअाे', 'हाे', 'देश', 'जनताकाे', 'हित', 'हुदैन', 'थाहा', 'भाे', 'mccकाम', 'रैनछ', 'हाे', 'खबरदार', 'mcc', 'पास', 'दिने', 'हाेईन']",137
७०कराेड ताेपकाे सलामि छ बाेरराे,Positive,5,1,"['७०कराेड', 'ताेपकाे', 'सलामि', 'बाेरराे']",31
यसतै नेतालाई हो नि चोर आयो भनने गाउँ घर तिर,Negative,10,1,"['यसतै', 'नेतालाई', 'नि', 'चोर', 'आयो', 'गाउँ', 'घर', 'तिर']",43
राजेनदर लिङदेलले भने जसतै,Neutral,4,1,"['राजेनदर', 'लिङदेलले', 'जसतै']",25
सततरी करोडौंको सनदरभमा ऋषि धमलाले सतर पटक सोधिएको देखें धमलालाई मेरो परशन हिजो सरकार बाहिर हुँदा बिरोध गरनेहरु अहिले सरकारमा छ किन छानबिन नगरेको भनेर सोधने किकाणडहरु किन छानबिन नगरेको कहिले गरने भनेर रयाखरयाकी परने कि,Neutral,36,1,"['सततरी', 'करोडौंको', 'सनदरभमा', 'ऋषि', 'धमलाले', 'सतर', 'पटक', 'सोधिएको', 'देखें', 'धमलालाई', 'मेरो', 'परशन', 'हिजो', 'सरकार', 'बाहिर', 'हुँदा', 'बिरोध', 'गरनेहरु', 'सरकारमा', 'छानबिन', 'नगरेको', 'भनेर', 'सोधने', 'किकाणडहरु', 'छानबिन', 'नगरेको', 'कहिले', 'भनेर', 'रयाखरयाकी', 'परने', 'कि']",217
mcc नेपालीको लागि रामराे हाे,Positive,5,1,"['mcc', 'नेपालीको', 'रामराे', 'हाे']",28
सहि हो कुरा,Positive,3,1,['सहि'],11
परचणड देशका रोग नै हुन,Negative,5,1,"['परचणड', 'देशका', 'रोग']",22
के ७० करोड भनछौ नालायक हो तेसता किलिपस परसारण गरने पतरुकार ऐले नेपाली काङगरेस को केनदरिय सदसय भको छ साला सब चुतिया हुन,Negative,23,1,"['७०', 'करोड', 'भनछौ', 'नालायक', 'तेसता', 'किलिपस', 'परसारण', 'पतरुकार', 'ऐले', 'नेपाली', 'काङगरेस', 'केनदरिय', 'सदसय', 'भको', 'साला', 'सब', 'चुतिया']",118
सबै भनदा खराब नेता गोकुल हुन,Negative,6,1,"['भनदा', 'खराब', 'नेता', 'गोकुल']",28
सबै भनदा पहिले कानुन मिचेर ७० करोड को भरषटचार गरने गोकुल बासकोटा ले राजिनामा दिनु परछ,Neutral,16,1,"['भनदा', 'कानुन', 'मिचेर', '७०', 'करोड', 'भरषटचार', 'गोकुल', 'बासकोटा', 'राजिनामा', 'दिनु']",85
यो चोर लाई देखयो त दिमाग तातियेर आउछ,Negative,8,1,"['चोर', 'देखयो', 'दिमाग', 'तातियेर', 'आउछ']",36
जबरजसतीको कुरा गरछ यार,Negative,4,1,"['जबरजसतीको', 'गरछ', 'यार']",22
यसता वहियात नेतालाइ लयार किन समय खेर फालनु हुनछ धमला जिछि छि,Negative,12,1,"['यसता', 'वहियात', 'नेतालाइ', 'लयार', 'खेर', 'फालनु', 'धमला', 'जिछि', 'छि']",60
याे गाेकुलेलाई हराउनुपरछ,Negative,3,1,"['याे', 'गाेकुलेलाई', 'हराउनुपरछ']",24
जति सकिनछ सफाई दिउँ,Positive,4,1,"['जति', 'सकिनछ', 'सफाई', 'दिउँ']",19
परसन गरनै जानदैन हो यो धमला जी ले,Negative,8,1,"['परसन', 'गरनै', 'जानदैन', 'धमला', 'जी']",33
चोरको अनतरवारता आएछ ७० करोड चोर भुसडी,Negative,7,1,"['चोरको', 'अनतरवारता', 'आएछ', '७०', 'करोड', 'चोर', 'भुसडी']",37
70 कारोड चोरको फेरि आगमन भएको रहेछ म त भनछु गोकुल चोर देश छोड,Negative,14,1,"['70', 'कारोड', 'चोरको', 'आगमन', 'रहेछ', 'भनछु', 'गोकुल', 'चोर', 'देश', 'छोड']",61
बुडो गोरु जठौ भीरमा जाऊ थुकक मेरो देशको नेता लाज पचेका बिदेशी डलरबादी देश पुरै धरशयमा पारिसकयो,Negative,17,1,"['बुडो', 'गोरु', 'जठौ', 'भीरमा', 'जाऊ', 'थुकक', 'मेरो', 'देशको', 'नेता', 'लाज', 'पचेका', 'बिदेशी', 'डलरबादी', 'देश', 'पुरै', 'धरशयमा', 'पारिसकयो']",94
जेजे भए पनि यो मानछे को कुरा सुनदा मजा आउछ,Positive,10,1,"['जेजे', 'भए', 'मानछे', 'सुनदा', 'मजा', 'आउछ']",42
कया दिनछ गोकुले बरो,Neutral,4,1,"['कया', 'दिनछ', 'गोकुले', 'बरो']",19
यो 70 करोड गोकुले ओलीले गरदा खुप चुरी फुरी गरिरहेको छ लाज सरम नभएको,Negative,14,1,"['70', 'करोड', 'गोकुले', 'ओलीले', 'गरदा', 'खुप', 'चुरी', 'फुरी', 'गरिरहेको', 'लाज', 'सरम', 'नभएको']",67
काभरेका बादसाह एमालेको ताकत गोकुल दाइको कुरा सुनन मजा आउछ,Positive,10,1,"['काभरेका', 'बादसाह', 'एमालेको', 'ताकत', 'गोकुल', 'दाइको', 'सुनन', 'मजा', 'आउछ']",57
७० करोड ले अलि बढी गफ दिनछ,Neutral,7,1,"['७०', 'करोड', 'अलि', 'बढी', 'गफ', 'दिनछ']",26
70 करोड भरषटाचारि केपि को पुचछर,Negative,6,1,"['70', 'करोड', 'भरषटाचारि', 'केपि', 'पुचछर']",31
जसले जति सुकै भनेनि गाेकुल बमसकाेटालाई मैले माने,Positive,8,1,"['जति', 'सुकै', 'भनेनि', 'गाेकुल', 'बमसकाेटालाई', 'माने']",48
होइन यो उखाने को छोरो हो भनदैमा 70 करोड वाला गोकुले ले पनि हसाउनु परने हो र हिजो उसको पारटी हुदा सबै ठिक गरेको रे अहिले बाहिरिय पछि यो सरकार ले केहि गरन सकेना रे कति हासनु हो अब त तिमीहरु Perfect भैसकेछ सापताहिक उखान टुकका कारेकरम चलाउदा हुनछ all the best,Neutral,52,1,"['होइन', 'उखाने', 'छोरो', 'भनदैमा', '70', 'करोड', 'वाला', 'गोकुले', 'हसाउनु', 'परने', 'हिजो', 'पारटी', 'हुदा', 'ठिक', 'गरेको', 'रे', 'बाहिरिय', 'पछि', 'सरकार', 'गरन', 'सकेना', 'रे', 'कति', 'हासनु', 'तिमीहरु', 'Perfect', 'भैसकेछ', 'सापताहिक', 'उखान', 'टुकका', 'कारेकरम', 'चलाउदा', 'best']",255
जसतो गुरु तयसतै चेला,Neutral,4,1,"['जसतो', 'गुरु', 'तयसतै', 'चेला']",20
गोकुल जि ले गरनु हुनछ,Neutral,5,1,"['गोकुल', 'जि']",21
मरने बेलामा लामो सास फेरछ तेसतै होला नि झुमरेड,Neutral,9,1,"['मरने', 'बेलामा', 'लामो', 'सास', 'फेरछ', 'तेसतै', 'नि', 'झुमरेड']",46
70 करोड पनि नककली हो भन न,Neutral,7,1,"['70', 'करोड', 'नककली', 'भन']",25
यो चोरलाइ किन घरीघरी अनतरबारताको लागि बोलाउछौ धमला बुढा,Neutral,9,1,"['चोरलाइ', 'घरीघरी', 'अनतरबारताको', 'बोलाउछौ', 'धमला', 'बुढा']",55
७० करोडलाई बोलन पनि लाज लागदै बा,Negative,7,1,"['७०', 'करोडलाई', 'बोलन', 'लाज', 'लागदै', 'बा']",32
७० करोड धिककार तिमरो विचार मुरदावाद,Negative,6,1,"['७०', 'करोड', 'धिककार', 'तिमरो', 'विचार', 'मुरदावाद']",35
आमा को कुरा मामा संग नगरनुस न धमला जी,Neutral,9,1,"['आमा', 'मामा', 'नगरनुस', 'धमला', 'जी']",37
यो रिशी धमलालाई लाजै छैन यार 1000 पटक राजेनदर लिङदेललाई लयाउ न यार अरु नेताहरुलाई नलयाउ के यार दाइ,Negative,19,1,"['रिशी', 'धमलालाई', 'लाजै', 'यार', '1000', 'पटक', 'राजेनदर', 'लिङदेललाई', 'लयाउ', 'यार', 'नेताहरुलाई', 'नलयाउ', 'यार', 'दाइ']",98
